venue_name,category,price_level,lat,lng,date,day_of_week,day_of_week_num,hour,is_football_saturday,is_semester,busyness
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,10,False,True,9
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,11,False,True,4
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,12,False,True,11
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,13,False,True,18
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,14,False,True,4
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,15,False,True,4
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,16,False,True,18
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,17,False,True,12
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,18,False,True,2
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,19,False,True,10
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,20,False,True,2
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,21,False,True,16
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,22,False,True,29
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,23,False,True,17
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,0,False,True,20
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,1,False,True,27
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-01,Sunday,6,2,False,True,19
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,10,False,True,7
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,11,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,12,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,13,False,True,16
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,14,False,True,2
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,15,False,True,5
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,16,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,17,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,18,False,True,5
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,19,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,20,False,True,7
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,21,False,True,10
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,22,False,True,18
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,23,False,True,19
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,0,False,True,40
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,1,False,True,24
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-02,Monday,0,2,False,True,12
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,10,False,True,11
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,11,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,12,False,True,6
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,13,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,14,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,15,False,True,6
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,16,False,True,11
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,17,False,True,6
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,18,False,True,4
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,19,False,True,2
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,20,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,21,False,True,12
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,22,False,True,20
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,23,False,True,36
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,0,False,True,32
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,1,False,True,14
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-03,Tuesday,1,2,False,True,27
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,10,False,True,3
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,11,False,True,1
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,12,False,True,11
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,13,False,True,14
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,14,False,True,14
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,15,False,True,0
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,16,False,True,4
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,17,False,True,9
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,18,False,True,14
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,19,False,True,2
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,20,False,True,5
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,21,False,True,14
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,22,False,True,21
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,23,False,True,43
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,0,False,True,49
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,1,False,True,35
Corby's Irish Pub,dive_bar,1,41.6764,-86.235,2024-09-04,Wednesday,2,2,False,True,39
